const,country,rated,awards,is_adult
tt0042398,Italy,,,
tt0042406,Spain,,2 wins & 1 nomination,
tt0042419,"United Kingdom, Italy",,,
tt0042420,Italy,,,
tt0042427,Italy,,1 win,
tt0042446,Italy,,,
tt0042464,United States,Approved,Nominated for 2 Oscars. 2 nominations total,
tt0042531,United States,Approved,Nominated for 1 Oscar. 2 wins & 2 nominations total,
tt0042579,United States,Approved,,
tt0042586,United States,Passed,,
tt0042597,"Italy, France",,,
tt0042634,United States,Approved,,
tt0042646,United States,Approved,Won 2 Oscars. 4 wins & 2 nominations total,
tt0042673,Italy,,,
tt0042700,United Kingdom,Approved,,
tt0042737,"France, Italy",,,
tt0042771,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0042787,Italy,,,
tt0042794,Italy,,,
tt0042809,United States,Approved,,
tt0042826,United States,Approved,,
tt0042830,United States,Passed,,
tt0042901,United States,Approved,,
tt0042903,France,,,
tt0042904,Italy,,,
tt0042927,United States,Approved,,
tt0042933,Italy,,,
tt0042938,Italy,,,
tt0042947,United States,Approved,1 win & 1 nomination total,
tt0042960,United States,Approved,1 win total,
tt0042964,United States,Approved,,
tt0042971,Mexico,,,
tt0042980,United Kingdom,Approved,2 nominations,
tt0043028,Italy,,,
tt0043052,United States,Approved,,
tt0043053,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0043072,United States,Approved,,
tt0043076,Italy,,,
tt0043088,United States,Passed,,
tt0043090,United States,Approved,,
tt0043108,Italy,,,
tt0043115,Mexico,,2 nominations,
tt0043142,United States,Approved,,
tt0043157,Italy,,,
tt0043262,United States,Approved,,
tt0043278,United States,Approved,Won 6 Oscars. 11 wins & 7 nominations total,
tt0043279,Italy,Approved,,
tt0043280,Italy,,,
tt0043285,Italy,,,
tt0043287,"Italy, France",Approved,,
tt0043335,United States,Approved,,
tt0043352,United States,Approved,,
tt0043357,France,,,
tt0043363,"United States, Mexico",Approved,Nominated for 1 Oscar. 1 nomination total,
tt0043378,Italy,,,
tt0043382,Italy,,,
tt0043388,Spain,,3 wins,
tt0043416,Italy,Approved,,
tt0043440,Italy,,,
tt0043455,United States,Approved,Nominated for 5 Oscars. 3 wins & 10 nominations total,
tt0043460,Mexico,,,
tt0043463,Italy,,,
tt0043473,"Italy, France",,,
tt0043487,Italy,,,
tt0043488,Italy,,,
tt0043489,"Italy, France",,,
tt0043505,Italy,,,
tt0043506,Italy,,,
tt0043511,Italy,,4 wins & 1 nomination,
tt0043515,Argentina,,,
tt0043520,Italy,,,
tt0043532,"Italy, France",,,
tt0043533,Italy,,,
tt0043567,Sweden,,Nominated for 1 BAFTA Award1 win & 2 nominations total,
tt0043569,Italy,,,
tt0043590,United States,Approved,Nominated for 1 Oscar. 1 win & 1 nomination total,
tt0043593,United States,Approved,,
tt0043598,Italy,,,
tt0043599,United States,Approved,Won 1 Oscar. 4 wins & 6 nominations total,
tt0043671,Italy,Approved,,
tt0043674,Italy,,,
tt0043675,Italy,,,
tt0043676,United States,Approved,,
tt0043678,United States,Approved,,
tt0043686,France,,Nominated for 1 Oscar. 8 wins & 2 nominations total,
